id,question,A,B,C,D,ANS,justification,category
1,1 સંચાર માહિતી વિનિમય કરવાનું એક ___________ પ્રક્રિયા છે.,એક માર્ગ,બે માર્ગ,ત્રણ માર્ગ,ચાર માર્ગ,બ. બે માર્ગ,પ્રેષક અને પ્રાપ્તકર્તા વચ્ચે પ્રક્રિયા થાય છે,
2,સંચાર પ્રક્રિયા ક્યારે ____________ થાય છે?,સેન્ડર,રિસિવર,ફિડબેક,ચેનલ,એ. સેન્ડર,પ્રેષક પ્રાપ્તકર્તાને સંદેશ મોકલીને પ્રક્રિયા શરૂ કરે છે.,
3,ફિડબેક શું છે?,સેન્ડરનો સંદેશ,રિસિવરનો પ્રતિસાદ,એન્કોડિંગ,ડીકોડિંગ,બ. રિસિવરનો પ્રતિસાદ,પ્રાપ્તકર્તા દ્વારા પ્રતિસાદ પ્રતિસાદ તરીકે ઓળખાય છે.,
4,સેન્ડર પણ ક્યારે __________ ઓળખાય છે?,રિસિવર,ફિડબેક,એન્કોડર,ડીકોડર,સી. એન્કોડર,"પ્રેષક વિચારને એન્કોડ કરે છે અને સંદેશ તૈયાર કરે છે, જેને એન્કોડર તરીકે ઓળખવામાં આવે છે.",
5,ઓળખાય છે કોણ?,સેન્ડર,રિસિવર,ફિડબેક,સંદેશ,બ. રિસિવર,પ્રાપ્તકર્તા સંદેશ પ્રાપ્ત કરે છે અને તેને ડીકોડ કરે છે.,
6,માનવ બંને અને પશુઓ વચ્ચેનું સંપર્ક શું છે?,અંતરવ્યક્તિગત,અંતરનો સંપર્ક,સંગઠનાત્મક,બહિર્વ્યક્તિગત,ડી. બહિર્વ્યક્તિગત,"જ્યારે તમે બિલાડી પાળે છે, અને તે પ્રતિભાવ આપે છે, ત્યારે તે એક્સ્ટ્રા-વ્યક્તિગત સંચારનું ઉદાહરણ છે.",
7,"યદિ એક વ્યક્તિ આપણું ભવિષ્ય વિશે વિચારે છે, તો તેનો ઉદાહરણ છે?",અંતરવ્યક્તિગત,અંતરનો સંપર્ક,બહિર્વ્યક્તિગત,બહિર્વ્યક્તિગત,એ. અંતરવ્યક્તિગત,આંતરવ્યક્તિત્વ સંચાર વ્યક્તિની અંદર થાય છે.,
8,જાહેરાતો ઉદાહરણ છે?,બહિર્મુખી,અંતર્મુખી,સંગઠનાત્મક,સમૂહ,સી. સમૂહ,"માસ કોમ્યુનિકેશનમાં, વ્યક્તિ લોકોના વિશાળ સમૂહ સાથે વાતચીત કરે છે.",
9,"જ્યારે મેનેજર આપના કર્મચારીને સ્ટોક સ્ટૉક કરવા માંગે છે, તે સંચારનું ઉદાહરણ છે?",ઉપવાન,હોરિઝોન્ટલ,નીચે,ક્રોસવાઇઝ,સી. નીચે,વરિષ્ઠથી જુનિયર સુધીના સંચારને ડાઉનવર્ડ કોમ્યુનિકેશન તરીકે ઓળખવામાં આવે છે.,
10,"જેનો ઉપરાંતરણ એક જૂનો વ્યક્તિ તેના મુખ્ય વ્યક્તિને પહોંચાડે છે, તે સંચારનું ઉદાહરણ છે?",ઉપવાન,હોરિઝોન્ટલ,નીચે,ક્રોસવાઇઝ,એ. ઉપવાન,"જો કોઈ વિદ્યાર્થી તેના પ્રોફેસરને રજા માટે અરજી સબમિટ કરે છે, તો તે અપવર્ડ કમ્યુનિકેશનનું ઉદાહરણ છે.",
11,"અસામાજિક સંચારમાં, જો માહિતી બધી દિશામાં પ્રવહાય છે, તો તે કહેવાય છે?",ઉપવાન,ગ્રેપવાઇન,નીચે,ક્રોસવાઇઝ,બ. ગ્રેપવાઇન,"અફવાઓ આ રીતે ફેલાય છે, ઝિગઝેગ રીતે.",
12,_________ સંચાર કોઈપણ અને બધી દિશાઓમાં પ્રવહાય શકે છે.,ઉપવાન,નીચે,ક્રોસવાઇઝ,હોરિઝોન્ટલ,સી. ક્રોસવાઇઝ,"ઉદાહરણ તરીકે, વરિષ્ઠ અને જુનિયર્સની મીટિંગમાં, બધા એક બીજા સાથે વાતચીત કરે છે.",
13,જેઓ એક જ શ્રેણીના લોકો વચ્ચે થાય તેને શું કહેવાય છે?,ઉપવાન,નીચે,ક્રોસવાઇઝ,હોરિઝોન્ટલ,ડી. હોરિઝોન્ટલ,"ઉદાહરણ તરીકે, વર્ગમાં બધા વિદ્યાર્થીઓ એકબીજા સાથે વાત કરે છે.",
14,સેન્ડર માટે સંદેશ તૈયાર કરે છે અને દરેક અક્ષરો પ્રાપ્ત કરવા અને તેઓને એક વાક્ય,એન્કોડિંગ,ડીકોડિંગ,નોઇઝ,યાદ રાખવાનું,એ. એન્કોડિંગ,એન્કોડિંગનો અર્થ છે યોગ્ય શબ્દો શોધવાની અને વાક્ય બનાવવા માટે તેમને ગોઠવવાની પ્રક્રિયા.,
15,સંદેશ છે__________.,વિચાર,ફિડબેક,નોઇઝ,એન્કોડેડ વિચાર,ડી. એન્કોડેડ વિચાર,"જ્યારે વિચારને ભાષામાં અથવા કોઈપણ કોડમાં સ્થાનાંતરિત કરવામાં આવે છે, ત્યારે તે સંદેશ બની જાય છે.",
16,"જ્યારે રિસિવર સંદેશ ડીકોડ કરે છે, તે પ્રાપ્ત કરે છે કે ___________.",વિચાર,ફિડબેક,નોઇઝ,એન્કોડેડ વિચાર,એ. વિચાર,ડીકોડિંગ એ સંદેશમાં છુપાયેલા વિચારને સમજવા માટેની પ્રક્રિયા છે.,
17,એન્કોડેડ વિચાર અને ડીકોડેડ વિચાર ____________ હોઈ શકે છે.,અમાર્ગે છે,અવશ્ય છે,છે,ક્યારેય નહિ,એ. અમાર્ગે છે,"પ્રાપ્તકર્તા કંઈક અલગ સમજી શકે છે, અને આને ગેરસમજ કહેવામાં આવે છે.",
18,"ફિડબેક પ્રક્રિયાની પ્રારંભિક રિસિવર બન્યો છે, તે સંદેશ મોકલવાનો સારો રહે છે.",ડીકોડર,આરએક્સ,સંદેશ,સેન્ડર,ડી. સેન્ડર,"પ્રતિસાદની પ્રક્રિયા મૂળ પ્રાપ્તકર્તા દ્વારા શરૂ કરવામાં આવે છે, તેથી પ્રાપ્તકર્તા સંદેશ મોકલશે.",
19,સંદેશો પ્રમાણે યોગ્ય _________ દ્વારા પ્રેષિત થવું જોઈએ.,ચેનલ,વ્હીકલ,ફિડબેક,આઈડીએશન,એ. ચેનલ,ચેનલ એટલે ટેલિફોન અથવા મેઈલ વગેરે જેના દ્વારા આપણે સંદેશો પ્રસારિત કરીએ છીએ.,
20,સંચાર કયા દક્ષતાનું ભાગ છે.,છોટા,સોફ્ટ,હાર્ડ,ટફ,બ. સોફ્ટ,"કોમ્યુનિકેશન એટલે વાત કરવી કે લખવું, જે સોફ્ટ સ્કીલ છે.",
21,સંચાર પ્રક્રિયા એક સંતોષજનક __________ સાથે સમાપ્ત થાય છે.,એન્કોડિંગ,ડીકોડિંગ,ફિડબેક,સંદેશ,સી. ફિડબેક,"જ્યારે પ્રેષકને ખાતરી થાય છે કે પ્રાપ્તકર્તા દ્વારા મૂળ વિચાર યોગ્ય રીતે સમજાય છે, ત્યારે પ્રક્રિયા સમાપ્ત થાય છે.",
22,જો સેન્ડર સાતા ફીડબેક સારી નથી મળી તો તે ફરીથી _________ વાક્ય બનાવવાનો ઉપયોગ કરેશે.,ડીકોડ,એન્કોડ,રિસીવ,આઈડિયા,એ. એન્કોડ,એન્કોડ એટલે સંદેશની તૈયારી.,
23,ઉપવાન સંચારમાં વિપરીત કયો છે?,હોરિઝોન્ટલ,ગ્રેપવાઇન,ક્રોસવાઇઝ,નીચે,ડી. નીચે,"જ્યારે કોઈ વરિષ્ઠ કોઈ જુનિયર સાથે વાતચીત કરે છે, ત્યારે તે ડાઉનવર્ડ છે, જે અપવર્ડ કોમ્યુનિકેશનની વિરુદ્ધ છે.",
24,ગ્રેપવાઇન સંચાર એક ___________ સંચાર છે.,અસામાજિક,સામાજિક,સંગઠનાત્મક,ઉપવાન,એ. અસામાજિક,"અનૌપચારિક રીતે, દ્રાક્ષ બધી દિશામાં ફેલાય છે.",
25,રૂમર્સ _______________ સંચાર દ્વારા ફેલાવામાં આવે છે.,ઉપવાન,નીચે,ગ્રેપવાઇન,ક્રોસવાઇઝ,સી. ગ્રેપવાઇન,"દ્રાક્ષની વેલ બધી દિશામાં વહે છે, તેથી કોઈપણ અન્ય કોઈની સાથે વાત કરે છે, દરેક મૂળ વિચારમાં કંઈક ઉમેરે છે.",
26,ગૈર-મૌખિક સંચારમાં કેટલા પ્રકારના અંગો છે?,2,5,4,7,બ. 5,"બિન-મૌખિક સંદેશાવ્યવહારમાં 5 ઘટકો છે, કિનેસિસ, પ્રોક્સિમિક્સ, ક્રોનમિક્સ, પેરાલેંગ્વેજ, દેખાવ.",
27,ઓરલ સંચાર કયા પ્રકારનું સંચારનું ભાગ છે?,મૌખિક સંચાર,ગૈર-મૌખિક સંચાર,દ્રશ્ય સંચાર,કિનેસિસ,એ. મૌખિક સંચાર,મૌખિક વાતચીતમાં વક્તા શબ્દોનો ઉપયોગ કરે છે.,
28,નોન-વર્બલ સંચારનું અંગો છે?,કિનેસિસ,પ્રોક્સિમિક્સ,ક્રોનેમિક્સ,પેરાલેન્ગ્વેજ,સી. ક્રોનેમિક્સ,"કાઇનેસિસ, પ્રોક્સેમિક્સ, ક્રોનેમિક્સ, પેરાલેંગ્વેજ અને એપિરિયન્સ બિન-મૌખિક સંચારના પાંચ ઘટકો છે.",
29,પ્રોક્સિમિક્સ નો મતલબ છે?,ધ્વનિ,દૂરતા,આંખોનો સંપર્ક,સ્વરાનું માપ,બ. દૂરતા,પ્રોક્સેમિક્સ એટલે વક્તા અને શ્રોતા વચ્ચેનું અંતર દર્શાવતી અવકાશ ભાષા.,
30,પેરાલેન્ગ્વેજ કયા નું સંપર્ક કરે છે?,આવાજ,ટોન,ઉચ્ચાર,બીજી બધા,ડી. બીજી બધા,"પેરાભાષા એ બિન-મૌખિક ઘટકોમાંથી એક છે. તે અવાજ, સ્વર, ઉચ્ચાર, પિચ અને સ્વરૃપ પેટર્ન જેવા અવાજના ગુણો સાથે વ્યવહાર કરે છે.",
31,કિનેસિસ કયા નું સમાવેશ કરે છે?,આંખોનો સંપર્ક,હાથની ચાલો,ચહેરાનો અભિવ્યક્તિકરણ,બીજી બધા,ડી. બીજી બધા,કાઇનેસિસ એટલે બોડી લેંગ્વેજ.,
32,સામાજિક અંતર અર્થે છે_________.,18 ઇંચ સુધીની દૂરતા,5 ફીટ થી 12 ફીટ,12 ફીટ થી 25 ફીટ,8 ઇંચ થી 5 ફીટ,બ. 5 ફીટ થી 12 ફીટ,આ વ્યક્તિગત સ્પેસનો સંદર્ભ આપે છે જે વ્યક્તિને સામાજિક સંચારમાં જરૂરી છે.,
33,ક્રોનેમિક્સ કે સમય વ્યવહારને સંબંધિત છે.,સમય,ઉચ્ચાર,આંખોનો સંપર્ક,પિચ,એ. સમય,"ક્રોનેમિક્સનો અર્થ છે સમયની ભાષા, વ્યક્તિ સમયને કેવી રીતે પ્રતિક્રિયા આપે છે તે કંઈક વાતચીત કરે છે.",
34,આત્મવિશ્વાસની કમી શક્યતા પૂર્ણ __________ બનાવી શકે છે.,સેમેન્ટિક બેરિયર,ફિઝિકલ બેરિયર,ઇંટરપર્સનલ બેરિયર,આર્ગનાઇઝેશનલ બેરિયર,સી. ઇંટરપર્સનલ બેરિયર,આત્મવિશ્વાસના અભાવે ગેરસમજ થઈ શકે છે.,
35,માનસિક બેરિયર્સ સ્થિતિ સાથે ઉત્પન્ન થાય છે_______.,સ્પેલિંગ ભૂલો,તણાવ,બોલાવટી અક્ષમતા,સંચારનું ખરાબ પ્રવાહ,બ. તણાવ,તણાવ વ્યક્તિના શરીરવિજ્ઞાન સાથે સંબંધિત છે.,
36,જાર્ગન્સનો ઉપયોગ કરવાથી કોઈ ___________ બેરિયર ઉત્પન્ન થવો શકે છે.,આર્ગનાઇઝેશનલ બેરિયર,પ્સિકોલોજિકલ બેરિયર,સોસિઓ-કલ્ચરલ બેરિયર,ફિઝિકલ બેરિયર,એ. આર્ગનાઇઝેશનલ બેરિયર,સિમેન્ટીકનો અર્થ ભાષા સાથે સંબંધિત છે અને જાર્ગન એટલે ટેકનિકલ શબ્દો.,
37,સંચારને મંદ અને અપ્રભાવકારક બનાવતા ઘટકો કેવા છે કહેવામાં આવે છે?,સિરીઝ,બેરિયર્સ,ચેનલ,કેરીઅર્સ,બ. બેરિયર્સ,અવરોધો એટલે પ્રક્રિયામાં અવરોધો.,
38,સંચારનું અપર્યાય અસંગઠિત બેરિયરનું ઉદાહરણ છે.,સેમેન્ટિક બેરિયર,પ્સિકોલોજિકલ બેરિયર,સંગઠનાત્મક બેરિયર,સંગઠનાત્મક બેરિયર,સી. સંગઠનાત્મક બેરિયર,સંસ્થામાં અસંગઠિત સંચાર પ્રણાલી સમસ્યાઓ ઊભી કરી શકે છે.,
39,સામાજિક-સાંસ્કૃતિક બેરિયર્સનું મૂળ કારણ કોણ હોઈ શકે છે?,ચિંતા,યંત્ર,વર્ગ સંઘર્ષ,જાર્ગન્સ,સી. વર્ગ સંઘર્ષ,વિવિધ વર્ગોમાં વિવિધ પસંદ અને નાપસંદ હોઈ શકે છે અને તે સંઘર્ષમાં પરિણમે છે.,
40,સંચારની ભૌતિક બેરિયર્સ શું બનાવી છે?,શોર,દૂરતા,શ્રાવણ અસમર્થતા,બીજું બધું,ડી. બીજું બધું,બધા ભૌતિક અવરોધોના ઉદાહરણો છે.,
41,વ્યક્તિગત પૂર્વગુણ કયા પ્રકારનું બેરિયર છે?,માનસિક બેરિયર્સ,સેમેન્ટિક/ભાષાવિજ્ઞાનિક બેરિયર,સામાજિક-સાંસ્કૃતિક બેરિયર્સ,ભૌતિક બેરિયર્સ,એ. માનસિક બેરિયર્સ,પ્રુજ્યુડિસ અને પૂર્વગ્રહ એ મનોવૈજ્ઞાનિક તત્વો છે.,
42,માહિતી ભરપેલી અને તકનીકી શબ્દોનો ઉપયોગ થતો હોય તો કોઈ બેરિયર ઉત્પન્ન થવો શકે છે.,સંગઠનાત્મક બેરિયર,માનસિક બેરિયર્સ,ભૌતિક બેરિયર્સ,સેમેન્ટિક/ભાષાવિજ્ઞાનિક બેરિયર,ડી. સેમેન્ટિક/ભાષાવિજ્ઞાનિક બેરિયર,વધુ પડતી માહિતી કોઈપણ સંસ્થામાં વસ્તુઓનું સંચાલન કરવામાં સમસ્યા ઊભી કરી શકે છે.,
43,રુચિની કમી એટલે ____________ ઉત્પન્ન થવી શકે છે.,ભૌતિક બેરિયર,સામની પૂર્વગુણ,માનસિક બેરિયર્સ,અંતરવ્યક્તિક બેરિયર,બ. ઇંટરપર્સનલ બેરિયર,"બે વ્યક્તિઓ વચ્ચે વાતચીત દરમિયાન, જો કોઈને રસ ન હોય તો, ગેરસમજ થઈ શકે છે.",
44,સાક્ષરતાની કમી કઈ પ્રકારનું બેરિયર છે?,ભૌતિક બેરિયર્સ,માનસિક બેરિયર્સ,સામાજિક-સાંસ્કૃતિક બેરિયર્સ,ઇંટરપર્સનલ બેરિયર્સ,બ. માનસિક બેરિયર્સ,"સાંભળવું અને બોલવું એ શરીરના ભૌતિક અંગો સાથે જોડાયેલું છે, તેથી તે શારીરિક અવરોધ છે.",
45,પ્રમાણિકતા સાથે કંપ્યુટરના અનુભવ પર ખૂબ મોટું અસર પડતું હોય તો કયો બેરિયર ઉત્પન્ન થાય છે?,યંત્રિક,સંગઠનાત્મક,માનસિક,ભૌતિક,એ. યંત્રિક,"જ્યારે આપણે કોઈ વસ્તુને જોઈને તેનો અર્થ સમજીએ છીએ, તે દ્રશ્ય સંચાર છે.",
46,યથાર્થવાદી અને પૂર્ણતા ભૂતક બોલી પણ બેરિયર ઉત્પન્ન કરી શકે છે.,ભૌતિક બેરિયર્સ,સામજાજિક બેરિયર્સ,સેમેંટિક/ભાષાવિજ્ઞાનિક બેરિયર,પ્સિકોલોજિકલ બેરિયર્સ,સી. સેમેંટિક/ભાષાવિજ્ઞાનિક બેરિયર,"મુશ્કેલ અને ટેકનિકલ શબ્દો બધા સમજી શકતા નથી, જેથી મૂંઝવણ ઊભી થઈ શકે.",
47,જેવું સંવાદ સાચાં પરિસ્થિતિની જોડણી ન લે તેવું સંવાદ બેરિયર ઉત્પન્ન કરી શકે છે.,આંખો સામે પરિહારો,6 ફીટ દૂરે,જાર્ગન્સ ઉપયોગ,કોઈ નહીં,એ. આંખો સામે પરિહારો,વસ્તુઓ સમજવા માટે આંખનો સંપર્ક જરૂરી છે.,
48,ક્યા પ્રકારના સંવાદમાં શબ્દોનો ઉપયોગ થાય છે?,નોન-વર્બલ કમ્યુનિકેશન,વર્બલ કમ્યુનિકેશન,વિઝ્યુઅલ કમ્યુનિકેશન,કોઈ નહીં,બ. વર્બલ કમ્યુનિકેશન,વર્બલ કોમ્યુનિકેશન એટલે શબ્દો અને ભાષાનો ઉપયોગ કરીને વાતચીત.,
49,ખોટા સાધનો અને યંત્ર અથવા ટેકનોલોજી વિષે અપર્યાપ્ત જ્ઞાન માટે _______ બેરિયર ઉત્પન્ન થાય છે.,યાંત્રિક,સંગઠનાત્મક,માનસિક,ભૌતિક,એ. યાંત્રિક,કારણ કે સમસ્યા મશીનો સાથે જોડાયેલી છે.,
