id,question,A,B,C,D,ANS,justification,category
1,1 સંચાર માહિતી વિનિમય કરવાનું એક ___________ પ્રક્રિયા છે.,એક માર્ગ,બે માર્ગ,ત્રણ માર્ગ,ચાર માર્ગ,B,પ્રેષક અને પ્રાપ્તકર્તા વચ્ચે પ્રક્રિયા થાય છે,5
2,સંચાર પ્રક્રિયા ક્યારે ____________ થાય છે?,સેન્ડર,રિસિવર,ફિડબેક,ચેનલ,A,પ્રેષક પ્રાપ્તકર્તાને સંદેશ મોકલીને પ્રક્રિયા શરૂ કરે છે.,5
3,ફિડબેક શું છે?,સેન્ડરનો સંદેશ,રિસિવરનો પ્રતિસાદ,એન્કોડિંગ,ડીકોડિંગ,B,પ્રાપ્તકર્તા દ્વારા પ્રતિસાદ પ્રતિસાદ તરીકે ઓળખાય છે.,5
4,સેન્ડર પણ ક્યારે __________ ઓળખાય છે?,રિસિવર,ફિડબેક,એન્કોડર,ડીકોડર,C,"પ્રેષક વિચારને એન્કોડ કરે છે અને સંદેશ તૈયાર કરે છે, જેને એન્કોડર તરીકે ઓળખવામાં આવે છે.",5
5,ઓળખાય છે કોણ?,સેન્ડર,રિસિવર,ફિડબેક,સંદેશ,B,પ્રાપ્તકર્તા સંદેશ પ્રાપ્ત કરે છે અને તેને ડીકોડ કરે છે.,5
6,માનવ બંને અને પશુઓ વચ્ચેનું સંપર્ક શું છે?,અંતરવ્યક્તિગત,અંતરનો સંપર્ક,સંગઠનાત્મક,બહિર્વ્યક્તિગત,D,"જ્યારે તમે બિલાડી પાળે છે, અને તે પ્રતિભાવ આપે છે, ત્યારે તે એક્સ્ટ્રા-વ્યક્તિગત સંચારનું ઉદાહરણ છે.",5
7,"યદિ એક વ્યક્તિ આપણું ભવિષ્ય વિશે વિચારે છે, તો તેનો ઉદાહરણ છે?",અંતરવ્યક્તિગત,અંતરનો સંપર્ક,બહિર્વ્યક્તિગત,બહિર્વ્યક્તિગત,A,આંતરવ્યક્તિત્વ સંચાર વ્યક્તિની અંદર થાય છે.,5
8,જાહેરાતો ઉદાહરણ છે?,બહિર્મુખી,અંતર્મુખી,સંગઠનાત્મક,સમૂહ,C,"માસ કોમ્યુનિકેશનમાં, વ્યક્તિ લોકોના વિશાળ સમૂહ સાથે વાતચીત કરે છે.",5
9,"જ્યારે મેનેજર આપના કર્મચારીને સ્ટોક સ્ટૉક કરવા માંગે છે, તે સંચારનું ઉદાહરણ છે?",ઉપવાન,હોરિઝોન્ટલ,નીચે,ક્રોસવાઇઝ,C,વરિષ્ઠથી જુનિયર સુધીના સંચારને ડાઉનવર્ડ કોમ્યુનિકેશન તરીકે ઓળખવામાં આવે છે.,5
10,"જેનો ઉપરાંતરણ એક જૂનો વ્યક્તિ તેના મુખ્ય વ્યક્તિને પહોંચાડે છે, તે સંચારનું ઉદાહરણ છે?",ઉપવાન,હોરિઝોન્ટલ,નીચે,ક્રોસવાઇઝ,A,"જો કોઈ વિદ્યાર્થી તેના પ્રોફેસરને રજા માટે અરજી સબમિટ કરે છે, તો તે અપવર્ડ કમ્યુનિકેશનનું ઉદાહરણ છે.",5
11,"અસામાજિક સંચારમાં, જો માહિતી બધી દિશામાં પ્રવહાય છે, તો તે કહેવાય છે?",ઉપવાન,ગ્રેપવાઇન,નીચે,ક્રોસવાઇઝ,B,"અફવાઓ આ રીતે ફેલાય છે, ઝિગઝેગ રીતે.",5
